,T7,F8,Cz,P4
9000,533.9567260742189,-1017.7427368164062,434.1631164550781,345.21893310546875
9001,516.6597290039061,-1034.703125,421.2866516113281,339.30242919921875
9002,521.6150512695311,-1031.96923828125,432.577392578125,335.1922607421875
9003,548.4413452148439,-1010.7827758789062,452.52227783203125,344.8150329589844
9004,537.38623046875,-1029.429931640625,443.6624755859375,348.2220764160156
9005,518.279052734375,-1041.966064453125,425.6623229980469,343.1283264160156
9006,528.8517456054689,-1030.3424072265623,435.0419921875,340.5029296875
9007,548.796630859375,-1010.7154541015624,454.5605163574219,345.5480651855469
9008,543.067138671875,-1018.8609619140624,451.54241943359375,354.1947021484375
9009,512.175537109375,-1040.638427734375,423.85595703125,344.0895080566406
9010,524.7304077148439,-1032.5826416015623,436.7922668457031,340.81707763671875
9011,544.5967407226561,-1014.06640625,455.1028137207031,344.7327575683594
9012,536.2979125976561,-1018.2438354492188,449.8968811035156,350.1518859863281
9013,510.8628540039063,-1031.296142578125,427.2704772949219,343.0535583496094
9014,520.3846435546875,-1019.1563720703124,439.4401245117188,340.32342529296875
9015,551.8372192382811,-1004.9635009765624,460.8585205078125,342.3055725097656
9016,532.2849731445311,-1013.6362915039062,446.4374694824219,343.16949462890625
9017,510.9675598144531,-1029.6505126953123,424.5889587402344,341.0414733886719
9018,523.7767333984375,-1023.6517333984376,435.1317443847656,327.75360107421875
9019,542.2555541992189,-1006.9867553710938,459.197998046875,340.38323974609375
9020,529.0013427734375,-1009.3279418945312,448.0792846679688,348.11737060546875
9021,511.0573425292969,-1031.55419921875,421.2567138671875,342.0774230957031
9022,521.386962890625,-1025.9256591796877,432.4203186035156,340.66748046875
9023,542.7904052734375,-1008.7220458984376,451.5760803222656,344.1007080078125
9024,533.6051635742189,-1019.8670043945312,444.76947021484375,349.9798278808594
9025,509.7259216308594,-1036.6068115234377,421.4474487304688,337.1557312011719
9026,524.1395263671875,-1026.1275634765623,434.79888916015625,339.0518493652344
9027,543.2691040039061,-1004.9335327148438,454.0032958984375,340.5440673828125
9028,530.7628784179689,-1013.71484375,442.6526794433594,349.1308898925781
9029,509.1051025390625,-1032.2684326171877,422.35626220703125,339.22015380859375
9030,521.0428466796875,-1017.540771484375,430.6924743652344,336.71441650390625
9031,542.528564453125,-1007.517822265625,450.1063232421875,340.10650634765625
9032,534.7495727539061,-1017.5370483398438,444.3393859863281,340.3682861328125
9033,516.6746826171875,-1030.8360595703123,425.2397155761719,340.0728454589844
9034,519.2701416015625,-1023.8761596679688,426.309326171875,327.16644287109375
9035,550.4197998046875,-995.404296875,454.5680236816406,341.14617919921875
9036,529.04248046875,-1004.9373168945312,439.0885620117188,337.65313720703125
9037,509.0564880371094,-1024.6279296875,421.25299072265625,337.3876037597656
9038,517.6619873046875,-1019.5977172851562,428.16058349609375,334.4218444824219
9039,542.8876342773439,-998.2653198242188,447.75390625,337.8775329589844
9040,529.734375,-1016.2355346679688,435.5057373046875,339.7848815917969
9041,522.9577026367189,-1027.167236328125,426.2906188964844,340.4692687988281
9042,522.2171630859375,-1020.0577392578124,431.0851745605469,336.83782958984375
9043,543.3999633789061,-1001.5078125,444.4104309082031,339.96063232421875
9044,537.094482421875,-1011.8336791992188,442.177734375,344.41485595703125
9045,517.4002075195311,-1025.3272705078123,421.1819152832031,340.2336730957031
9046,527.621337890625,-1021.2955932617188,431.5975341796875,338.3300476074219
9047,550.6666259765625,-1009.3821411132812,448.7973327636719,341.23968505859375
9048,529.1509399414061,-1018.9488525390624,437.2784423828125,342.1821594238281
9049,517.0785522460939,-1025.7554931640623,418.5378112792969,338.6142883300781
9050,528.2608642578125,-1015.6278076171876,422.4460144042969,331.2728576660156
9051,540.2921142578125,-1004.5838623046876,435.5244445800781,331.1494445800781
9052,532.056884765625,-1017.37060546875,429.2489013671875,334.51910400390625
9053,523.372802734375,-1036.5076904296877,415.8488159179688,334.46673583984375
9054,535.3966064453125,-1021.0281982421876,432.0538024902344,338.15802001953125
9055,546.7584228515625,-1006.9774169921876,445.9999084472656,337.6231994628906
9056,540.0602416992189,-1011.4503173828124,439.6233825683594,344.8000793457031
9057,521.3196411132811,-1030.91650390625,417.75616455078125,337.380126953125
9058,534.2446899414061,-1024.9326171875,427.8127746582031,335.58123779296875
9059,550.849853515625,-1003.2449951171876,454.5605163574219,338.2889099121094
9060,535.35546875,-1009.6327514648438,442.4881286621094,342.51873779296875
9061,523.2755737304689,-1029.962890625,425.5576171875,340.3795166015625
9062,522.5201416015625,-1022.8345947265624,422.2178649902344,331.3813171386719
9063,544.4135131835939,-1001.1805419921876,446.4000549316406,338.98828125
9064,533.7772216796875,-1009.1129150390624,434.7427978515625,341.7745056152344
9065,512.13818359375,-1028.593994140625,416.0320739746094,339.64276123046875
9066,519.2963256835939,-1017.0714111328124,424.8283386230469,335.326904296875
9067,542.7567138671875,-997.8557739257812,439.6944274902344,338.56939697265625
9068,530.4636840820311,-1008.7576293945312,432.928955078125,340.85821533203125
9069,513.0020751953125,-1024.70458984375,413.2869873046875,330.4313659667969
9070,523.4775390625,-1017.770751953125,418.45928955078125,322.77581787109375
9071,548.2431640625,-995.092041015625,447.1031799316406,337.43621826171875
9072,536.9262084960939,-1004.7446899414062,438.9613952636719,342.122314453125
9073,511.2181396484375,-1028.911865234375,415.9273681640625,338.11688232421875
9074,525.2203369140625,-1014.3712158203124,430.1240234375,337.4137878417969
9075,543.9909057617189,-1000.2680053710938,455.23370361328125,344.1231689453125
9076,536.974853515625,-1009.3709716796876,438.867919921875,339.00323486328125
9077,515.567626953125,-1029.9254150390623,421.0435485839844,339.0929870605469
